activity,This represents a single screen with a user interface.
app,The library where components such as Activity and AlertDialog are defined.
application components,These are the essential building blocks of an Android application.
Android application package file,Each Android application is compiled and packaged in a single file that includes all of the application's code. This may have any name but must use the .apk extension.
Android operating system,"This locates an appropriate component to respond to the intent, launches a new instance of the component if one is needed, and passes it the Intent object."
anonymous inner,"In OOP, this is an un-named class declared entirely within the body of another class or interface. Often use for UI event handling."
broadcast receiver,These are components that respond to system-wide broadcast announcements.
content provider,This supplies structured access to data managed by the application.
hash table or hash map,"This is a data structure that maps identifying values, known as keys, to associated values."
intent,"You can use these to start activities, services, and broadcast receivers. "
intent actions,"With these, you simply describe the type of action you want to perform and allow the system to find a component on the device that can perform the action and start it."
intent object,"This is a bundle of information describing a desired action including the data to be acted upon, the category of component that should perform the action, and other pertinent instructions. "
manifest,"A file describing the contents, permissions and other attributes of an Android application package."
SDK,"This includes tools developers use to create applications for Android OS based phones, and other devices."
service ,"These are components that run in the background to perform long-running operations or to perform work for remote processes. These do not provide a user interface. Another component, such as an activity, can start one of these and let it run or bind to it in order to interact with it."
start,A unique aspect of the Android system design is that any application can do this to another application's component.
Intent filter,"If there are multiple components that can perform an action described by an intent, then this selects which one to use."
util,The library where components such as Random and List are defined.
view ,The library where components such as OnClickListener are defined.
widget,The library where components such as Button and TextView are defined.
