twowaytraffic,Two-way traffic
donotpass,Do not pass
donotlitter,Do not litter
railwaycross,Railway crossing
sharpcurve,Sharp curve ahead
narrowstruct,Narrow structure ahead
dontenter,Do not enter
yield,Yield
oneway,One way
maxspeed,Max speed limit
hazard,Drive to the right of the sign
hiddenintersect,Hidden intersection ahead
truck,Truck entrance
narrowahead,Road narrows ahead
rightonly,Right turn only
bridge,Bridge opening
stopahead,Stop sign ahead
playground,Approaching playground
clearance,Low clearance ahead
noturns,No turns
